Roll	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	Mutator Value
8k6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.93	0.91	0.89	0.87	0.84	0.81	0.78	0.75	0.71	0.68	0.64	0.60	0.56	0.52	0.49	0.45	0.42	0.38	0.35	0.32	0.30	0.27	0.25	0.22	0.20	0.18	0.16	0.15	0.13	0.12	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8k7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.94	0.93	0.91	0.89	0.87	0.84	0.82	0.79	0.76	0.72	0.69	0.65	0.62	0.58	0.55	0.51	0.48	0.45	0.41	0.38	0.35	0.32	0.29	0.27	0.24	0.22	0.20	0.18	0.16	0.14	0.13	0.11	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8k8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.93	0.92	0.90	0.88	0.85	0.83	0.80	0.77	0.74	0.70	0.67	0.64	0.60	0.57	0.53	0.50	0.47	0.44	0.40	0.38	0.35	0.33	0.30	0.27	0.25	0.22	0.21	0.19	0.17	0.15	0.14	0.12	0.11	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k1	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.96	0.87	0.61	0.61	0.57	0.53	0.48	0.42	0.36	0.30	0.23	0.16	0.09	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.97	0.94	0.90	0.82	0.72	0.61	0.59	0.55	0.51	0.47	0.43	0.38	0.34	0.29	0.25	0.21	0.20	0.18	0.15	0.13	0.11	0.09	0.07	0.06	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.98	0.97	0.96	0.93	0.90	0.86	0.81	0.74	0.68	0.62	0.56	0.54	0.50	0.46	0.42	0.38	0.34	0.30	0.26	0.23	0.20	0.18	0.16	0.14	0.13	0.11	0.10	0.08	0.07	0.06	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.98	0.97	0.96	0.95	0.93	0.90	0.87	0.83	0.78	0.74	0.69	0.64	0.59	0.55	0.51	0.47	0.43	0.40	0.36	0.32	0.29	0.26	0.23	0.21	0.18	0.17	0.15	0.13	0.12	0.10	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.97	0.96	0.94	0.92	0.90	0.88	0.85	0.82	0.78	0.74	0.70	0.66	0.62	0.58	0.53	0.49	0.46	0.42	0.39	0.36	0.32	0.29	0.26	0.24	0.21	0.19	0.17	0.15	0.14	0.12	0.11	0.10	0.09	0.08	0.07	0.06	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.93	0.91	0.89	0.87	0.84	0.81	0.78	0.75	0.71	0.68	0.64	0.60	0.56	0.53	0.49	0.46	0.42	0.38	0.35	0.32	0.29	0.27	0.24	0.22	0.19	0.17	0.16	0.14	0.13	0.11	0.10	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.93	0.92	0.90	0.88	0.85	0.83	0.80	0.77	0.74	0.71	0.67	0.63	0.60	0.57	0.53	0.50	0.47	0.43	0.40	0.37	0.34	0.31	0.29	0.26	0.24	0.22	0.20	0.18	0.16	0.15	0.13	0.12	0.10	0.10	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9k8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.94	0.93	0.91	0.90	0.88	0.86	0.83	0.81	0.78	0.75	0.72	0.68	0.65	0.62	0.59	0.55	0.52	0.49	0.46	0.43	0.40	0.37	0.34	0.32	0.29	0.27	0.25	0.22	0.21	0.19	0.17	0.15	0.14	0.12	0.11	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00
9k9	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.94	0.93	0.91	0.90	0.88	0.86	0.84	0.81	0.79	0.76	0.73	0.70	0.67	0.63	0.60	0.57	0.54	0.51	0.47	0.44	0.41	0.38	0.35	0.33	0.30	0.28	0.26	0.24	0.22	0.20	0.18	0.16	0.14	0.13	0.12	0.10	0.09	0.08	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00
10k1	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.97	0.89	0.65	0.65	0.61	0.56	0.51	0.46	0.40	0.33	0.26	0.18	0.09	0.09	0.09	0.08	0.07	0.06	0.05	0.04	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10k2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.98	0.96	0.92	0.85	0.76	0.65	0.63	0.59	0.55	0.52	0.48	0.43	0.39	0.34	0.28	0.25	0.23	0.20	0.18	0.16	0.13	0.11	0.09	0.08	0.06	0.05	0.05	0.04	0.03	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10k3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.97	0.95	0.93	0.89	0.84	0.78	0.71	0.65	0.61	0.58	0.54	0.51	0.46	0.42	0.38	0.34	0.30	0.26	0.23	0.21	0.19	0.17	0.15	0.13	0.11	0.10	0.08	0.07	0.06	0.05	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10k4	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.98	0.97	0.96	0.94	0.91	0.88	0.84	0.80	0.75	0.70	0.66	0.61	0.57	0.53	0.50	0.46	0.42	0.38	0.35	0.31	0.28	0.25	0.23	0.21	0.18	0.17	0.15	0.13	0.12	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10k5	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.97	0.96	0.95	0.93	0.91	0.88	0.85	0.81	0.78	0.74	0.70	0.65	0.61	0.57	0.54	0.50	0.46	0.43	0.39	0.36	0.33	0.29	0.27	0.24	0.22	0.20	0.18	0.16	0.15	0.13	0.12	0.10	0.09	0.08	0.07	0.06	0.06	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10k6	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.97	0.96	0.95	0.94	0.92	0.90	0.88	0.86	0.83	0.80	0.77	0.73	0.69	0.66	0.61	0.58	0.54	0.50	0.47	0.43	0.40	0.37	0.34	0.31	0.28	0.26	0.23	0.21	0.19	0.17	0.15	0.13	0.12	0.11	0.10	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10k7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.95	0.93	0.92	0.90	0.88	0.86	0.83	0.81	0.78	0.75	0.72	0.69	0.65	0.61	0.58	0.54	0.51	0.48	0.44	0.42	0.39	0.36	0.33	0.31	0.28	0.26	0.24	0.22	0.20	0.18	0.16	0.15	0.13	0.12	0.11	0.10	0.09	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00
10k8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.97	0.96	0.95	0.93	0.92	0.91	0.89	0.87	0.85	0.82	0.80	0.77	0.75	0.72	0.69	0.65	0.62	0.59	0.55	0.52	0.49	0.46	0.42	0.40	0.37	0.34	0.32	0.29	0.27	0.25	0.22	0.20	0.19	0.17	0.15	0.14	0.13	0.11	0.10	0.09	0.08	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00
10k9	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.99	0.98	0.98	0.97	0.97	0.96	0.95	0.94	0.92	0.91	0.89	0.87	0.85	0.82	0.80	0.78	0.75	0.72	0.69	0.66	0.63	0.60	0.56	0.53	0.50	0.47	0.44	0.41	0.38	0.35	0.32	0.30	0.28	0.26	0.24	0.22	0.20	0.18	0.17	0.15	0.14	0.12	0.11	0.10	0.09	0.08	0.07	0.07	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.00
10k10	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	0.99	0.99	0.99	0.98	0.98	0.97	0.96	0.96	0.94	0.93	0.92	0.90	0.88	0.86	0.84	0.82	0.79	0.77	0.74	0.71	0.68	0.65	0.62	0.59	0.56	0.53	0.50	0.47	0.44	0.41	0.39	0.36	0.34	0.31	0.29	0.27	0.24	0.22	0.21	0.19	0.17	0.16	0.14	0.13	0.12	0.10	0.10	0.08	0.08	0.07	0.06	0.06	0.05	0.05	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.00
